SAKE,0.20212765957446807,0.20212765957446807,94
TRANSFORM,0.696969696969697,1.0,99
FREQUENT,0.9509803921568627,0.9509803921568627,102
TRANSPLANT,0.45161290322580644,0.5268817204301075,93
ROW,0.0625,0.0625,96
JESUS,0.979381443298969,0.979381443298969,97
SOW,0.59375,0.59375,96
CONGLOMERATE,0.9864864864864865,0.9864864864864865,74
RECORD,0.9583333333333334,0.9583333333333334,120
FRAGMENT,0.9666666666666667,0.9888888888888889,90
ADDICT,1.0,1.0,93
ATTRIBUTE,0.8888888888888888,0.8888888888888888,99
HOUSE,1.0,1.0,179
EXPOSE,0.9418604651162791,0.9418604651162791,86
USES,0.9769230769230769,0.9769230769230769,130
INCREASE,0.952755905511811,1.0,127
INSULT,0.9891304347826086,1.0,92
DISCARD,0.9326923076923077,1.0,104
MODERATE,1.0,1.0,91
MINUTE,0.8333333333333334,0.8333333333333334,108
LEAD,0.45714285714285713,0.45714285714285713,140
EXCUSE,0.9468085106382979,0.9468085106382979,94
READ,0.6666666666666666,0.6666666666666666,117
CONTENT,0.9056603773584906,0.9056603773584906,106
USE,0.9423076923076923,0.9423076923076923,260
CONDUCT,0.9583333333333334,0.9583333333333334,96
EXPORT,0.9797979797979798,0.9797979797979798,99
PERMIT,0.92,0.92,100
INCENSE,1.0,1.0,96
MOBILE,0.9318181818181818,0.9318181818181818,88
PASTY,0.38461538461538464,0.4065934065934066,91
MOPED,0.2261904761904762,0.2261904761904762,84
REBEL,0.9239130434782609,0.9239130434782609,92
NESTLE,0.20833333333333334,0.20833333333333334,72
ARTICULATE,0.5384615384615384,0.5384615384615384,91
READING,0.8303571428571429,0.8303571428571429,112
REFUSE,0.8404255319148937,0.8404255319148937,94
SUSPECT,0.5662650602409639,0.5662650602409639,83
CELTIC,0.6853932584269663,0.7303370786516854,89
COMPACT,0.9891304347826086,0.9891304347826086,92
PREDICATE,1.0,1.0,100
ISOLATE,0.8089887640449438,0.8089887640449438,89
SYNDICATE,0.9081632653061225,0.9081632653061225,98
WOUND,0.7628865979381443,0.7628865979381443,97
CORRELATE,0.7840909090909091,0.7840909090909091,88
DISCOUNT,1.0,1.0,93
COMPOUND,0.967391304347826,0.967391304347826,92
TRANSPORT,0.8557692307692307,1.0,104
INVERT,0.8131868131868132,1.0,91
PIGMENT,1.0,1.0,93
INTIMATE,1.0,1.0,95
ENTRANCE,1.0,1.0,97
APPROXIMATE,0.9642857142857143,0.9642857142857143,84
POSTULATE,0.8725490196078431,0.8725490196078431,102
INCLINE,0.75,0.7916666666666666,96
WINDS,0.941747572815534,0.941747572815534,103
PROGRESS,0.9175257731958762,0.9175257731958762,97
IMPACT,1.0,1.0,105
SUBJECT,1.0,1.0,126
MOUTH,1.0,1.0,107
ESCORT,0.8780487804878049,0.8780487804878049,82
DISCHARGE,0.98989898989899,1.0,99
CONSTRUCT,0.9893617021276596,0.9893617021276596,94
WIND,0.9565217391304348,0.9565217391304348,115
MISUSE,0.9340659340659341,0.9340659340659341,91
EXTRACT,0.9894736842105263,0.9894736842105263,95
ADVOCATE,0.9787234042553191,0.9787234042553191,94
ASSOCIATE,0.8762886597938144,0.8762886597938144,97
POLISH,0.970873786407767,0.970873786407767,103
RETARD,0.8795180722891566,0.8795180722891566,83
CONVERT,0.8681318681318682,0.8681318681318682,91
CLOSE,0.9152542372881356,0.9152542372881356,118
ALTERNATE,0.9108910891089109,0.9108910891089109,101
IMPLEMENT,0.4318181818181818,0.4318181818181818,88
PRECIPITATE,0.9880952380952381,0.9880952380952381,84
PERFUME,0.968421052631579,0.968421052631579,95
CONTEST,0.9764705882352941,0.9764705882352941,85
PRESENT,0.9703703703703703,0.9703703703703703,135
BASS,0.23636363636363636,0.23636363636363636,110
AFFECT,1.0,1.0,101
DEFECT,0.9662921348314607,0.9662921348314607,89
OBJECT,0.1504424778761062,0.1504424778761062,113
LEARNED,0.9433962264150944,0.9433962264150944,106
INSTRUMENT,1.0,1.0,93
RECOUNT,0.45263157894736844,0.7263157894736842,95
CONSORT,1.0,1.0,74
JOB,1.0,1.0,104
INSERT,0.881578947368421,0.9868421052631579,76
ELABORATE,0.9901960784313726,0.9901960784313726,102
DIFFUSE,0.9789473684210527,0.9789473684210527,95
ABUSES,0.851063829787234,0.851063829787234,94
OVERTHROW,0.6551724137931034,1.0,87
BOLOGNA,0.989010989010989,0.989010989010989,91
CONFLICT,0.9696969696969697,0.9696969696969697,99
DEVIATE,0.9761904761904762,0.9761904761904762,84
INCREMENT,0.9021739130434783,0.9021739130434783,92
CONTRACT,0.9791666666666666,0.9791666666666666,96
SUBORDINATE,0.9880952380952381,0.9880952380952381,84
BLESSED,0.5454545454545454,0.5454545454545454,88
LIVES,0.42857142857142855,0.42857142857142855,105
BOW,0.39805825242718446,0.39805825242718446,103
AUGUST,0.9930555555555556,0.9930555555555556,144
DEGENERATE,0.9130434782608695,0.9130434782608695,92
DELIBERATE,0.9891304347826086,0.9891304347826086,92
DOCUMENT,0.9473684210526315,0.9578947368421052,95
AGGREGATE,1.0,1.0,89
ESTIMATE,0.8695652173913043,0.8695652173913043,92
TEAR,0.7261904761904762,0.7261904761904762,84
INVITE,0.8048780487804879,1.0,82
PRODUCE,0.9612403100775194,0.9612403100775194,129
MATE,0.989247311827957,0.989247311827957,93
BUFFET,0.9456521739130435,0.9456521739130435,92
CONSOLE,0.05263157894736842,0.05263157894736842,76
UPSET,0.945054945054945,1.0,91
AXES,0.5188679245283019,0.5188679245283019,106
REJECT,0.9555555555555556,0.9555555555555556,90
